action,days,total_base,avg_base,median_base,min_base,max_base,days_base_lt5,days_base_lt10,agg_d1,total_returned,agg_d1_retention,avg_d1,std_d1
comment,15,41,2.7333333333333334,2.0,1,7,13,15,7,7,0.17073170731707318,0.15396825396825395,0.25562455935202183
like,20,51,2.55,2.0,1,5,19,20,5,5,0.09803921568627451,0.0725,0.13999530067300944
post,8,11,1.375,1.0,1,3,8,8,3,3,0.2727272727272727,0.29166666666666663,0.4520675606201791
view,20,141,7.05,7.0,4,13,3,18,22,22,0.15602836879432624,0.15143981018981018,0.13575774030316384
