month,avg_dau,avg_d1_retention,mau
2011-06,33.2,0.4891416635832207,131
2011-07,15.161290322580646,0.38881934947549646,154
2011-08,15.709677419354838,0.3325052153677511,172
2011-09,14.666666666666666,0.38159681277328333,143
2011-10,16.06451612903226,0.38054203464921305,173
2011-11,17.566666666666666,0.40972566190832443,180
2011-12,17.806451612903224,0.4108917421382899,169
2012-01,20.64516129032258,0.38670361779186346,207
2012-02,19.896551724137932,0.3867216487978047,193
2012-03,17.806451612903224,0.36155377258825006,169
2012-04,16.866666666666667,0.3246310356285454,173
2012-05,20.70967741935484,0.32986928104887414,190
2012-06,22.966666666666665,0.35364896053097195,229
2012-07,16.70967741935484,0.29646691073255016,189
2012-08,18.70967741935484,0.30501837817771665,213
2012-09,18.9,0.3559358497689885,194
2012-10,18.161290322580644,0.2946525090974806,212
2012-11,16.633333333333333,0.2523966399641681,201
2012-12,18.612903225806452,0.3176057924685147,195
2013-01,23.483870967741936,0.32200612643224874,251
2013-02,30.928571428571427,0.3418673470292063,297
2013-03,31.516129032258064,0.3398229725252214,331
2013-04,27.533333333333335,0.3229660332715455,292
2013-05,26.129032258064516,0.30650580553093065,285
2013-06,25.533333333333335,0.3332208301624252,302
2013-07,24.64516129032258,0.31159049106059067,298
2013-08,25.129032258064516,0.3346108190819556,295
2013-09,26.4,0.3452787687212954,292
2013-10,23.806451612903224,0.34311596816915635,277
2013-11,22.4,0.30822289467629405,294
2013-12,25.741935483870968,0.35125413852684867,299
2014-01,28.612903225806452,0.3564951509949092,329
2014-02,30.75,0.2964563819863388,375
2014-03,39.54838709677419,0.34615108823521745,512
2014-04,39.36666666666667,0.3308339513722094,494
2014-05,45.064516129032256,0.3228230121315803,577
2014-06,48.06666666666667,0.30647615355279273,631
2014-07,47.87096774193548,0.2849499903300373,672
2014-08,48.41935483870968,0.3045315518609796,638
2014-09,42.03333333333333,0.272555366834128,570
2014-10,42.193548387096776,0.28170127278382806,568
2014-11,42.233333333333334,0.3371112648740272,532
2014-12,47.12903225806452,0.3054503054640217,619
2015-01,48.54838709677419,0.3025672672393188,637
2015-02,47.42857142857143,0.2997381176699742,606
2015-03,53.61290322580645,0.3100164275000949,729
2015-04,53.43333333333333,0.32075039908200775,717
2015-05,64.29032258064517,0.3079773252952211,865
2015-06,77.0,0.3318783495119095,950
2015-07,59.806451612903224,0.3231728571554965,814
2015-08,58.29032258064516,0.3158096613869198,786
2015-09,63.13333333333333,0.32590495012949167,768
2015-10,47.16129032258065,0.2918620235259994,633
2015-11,55.3,0.28600718297396005,731
2015-12,54.483870967741936,0.32810982459104515,686
2016-01,59.03225806451613,0.3134221804892928,757
2016-02,58.172413793103445,0.3094656832638124,709
2016-03,57.483870967741936,0.31259445391050555,728
2016-04,64.23333333333333,0.32947488194034236,820
2016-05,74.16129032258064,0.3276206986684626,985
2016-06,89.5,0.34491212783401376,1136
2016-07,90.38709677419355,0.3175850086617884,1184
2016-08,93.7741935483871,0.32707497650007206,1224
2016-09,91.23333333333333,0.3444858611548006,1107
2016-10,79.48387096774194,0.33813411599501386,1011
2016-11,66.4,0.31175358642781154,872
2016-12,70.12903225806451,0.3340606859905735,900
2017-01,74.41935483870968,0.3144715145360452,1021
2017-02,71.60714285714286,0.32670912970420185,914
2017-03,76.80645161290323,0.304843259079835,1060
2017-04,67.13333333333334,0.31775620391323034,874
2017-05,67.48387096774194,0.3043012894922368,968
2017-06,80.46666666666667,0.2986675328975228,1073
