bucket,group_x,a_base,a_ret,a_rate,a_ci_low,a_ci_high,group_y,b_base,b_ret,b_rate,b_ci_low,b_ci_high,lift,ratio
L1_1event,view_only,84,12,0.14285714285714285,0.08364938218850577,0.23330295019159658,,,,,,,,
L2_2events,view_only,34,5,0.14705882352941177,0.06449346382626417,0.30128388174051957,view_comment,12.0,4.0,0.3333333333333333,0.13811783989736134,0.609382412602386,0.18627450980392155,2.2666666666666666
L3_3plus,view_only,10,1,0.1,0.01787574951572113,0.4041563854975721,view_comment,1.0,0.0,0.0,0.0,0.7934567085261071,-0.1,0.0
