event_date,dau
2012-06-09,11
2012-06-10,15
2012-06-11,27
2012-06-12,24
2012-06-13,22
2012-06-14,52
2012-06-15,40
2012-06-16,12
2012-06-17,20
2012-06-18,25
2012-06-19,36
2012-06-20,20
2012-06-21,29
2012-06-22,31
2012-06-23,24
2012-06-24,21
2012-06-25,27
2012-06-26,23
2012-06-27,17
2012-06-28,19
2012-06-29,24
2012-06-30,20
2012-07-01,19
2012-07-02,19
2012-07-03,23
2012-07-04,14
2012-07-05,21
2012-07-06,19
2012-07-07,7
2012-07-08,14
2012-07-09,17
2012-07-10,27
2012-07-11,22
2012-07-12,21
2012-07-13,9
2012-07-14,11
2012-07-15,8
2012-07-16,17
2012-07-17,19
2012-07-18,21
2012-07-19,17
2012-07-20,20
2012-07-21,9
2012-07-22,17
2012-07-23,12
2012-07-24,34
2012-07-25,12
2012-07-26,16
2012-07-27,20
2012-07-28,6
2012-07-29,9
2012-07-30,21
2012-07-31,17
2012-08-01,6
2012-08-02,17
2012-08-03,18
2012-08-04,9
2012-08-05,9
2012-08-06,21
2012-08-07,23
2012-08-08,19
2012-08-09,19
2012-08-10,27
2012-08-11,17
2012-08-12,22
2012-08-13,24
2012-08-14,16
2012-08-15,18
2012-08-16,27
2012-08-17,19
2012-08-18,11
2012-08-19,22
2012-08-20,22
2012-08-21,22
2012-08-22,19
2012-08-23,22
2012-08-24,19
2012-08-25,17
2012-08-26,12
2012-08-27,25
2012-08-28,25
2012-08-29,21
2012-08-30,15
2012-08-31,17
2012-09-01,11
2012-09-02,10
2012-09-03,29
2012-09-04,19
2012-09-05,15
2012-09-06,21
2012-09-07,21
2012-09-08,10
2012-09-09,20
2012-09-10,18
2012-09-11,21
2012-09-12,24
2012-09-13,24
2012-09-14,25
2012-09-15,16
2012-09-16,20
2012-09-17,26
2012-09-18,24
2012-09-19,23
2012-09-20,33
2012-09-21,19
2012-09-22,11
2012-09-23,14
2012-09-24,17
2012-09-25,22
2012-09-26,13
2012-09-27,13
