community,action,n_days,avg_d1,std_d1,iqr_d1
fitness,like,5,0.07333333333333333,0.09043106644167025,0.16666666666666666
fitness,view,16,0.16156881313131313,0.13855098987267786,0.22916666666666666
food,like,7,0.1492063492063492,0.15474358865973256,0.26666666666666666
food,view,17,0.17552104757987114,0.1189893229031135,0.1590909090909091
games,view,16,0.13427579365079365,0.142230484218616,0.20555555555555555
study,view,17,0.0907563025210084,0.10364145658263306,0.14285714285714285
tech,like,6,0.21746031746031746,0.15050096909375948,0.19285714285714287
tech,view,13,0.08211233211233211,0.11826548746437848,0.14285714285714285
travel,view,17,0.13404683551742375,0.10596559355329044,0.18181818181818182
